MSSubClass	MSZoning	LotFrontage	LotArea	LotShape	LotConfig	Neighborhood	Condition1	BldgType	HouseStyle	OverallQual	OverallCond	YearBuilt	YearRemodAdd	RoofStyle	Exterior2nd	MasVnrType	MasVnrArea	ExterQual	ExterCond	Foundation	BsmtQual	BsmtExposure	BsmtFinType1	BsmtFinSF1	BsmtUnfSF	TotalBsmtSF	HeatingQC	CentralAir	Electrical	X1stFlrSF	X2ndFlrSF	GrLivArea	BsmtFullBath	BsmtHalfBath	FullBath	HalfBath	BedroomAbvGr	KitchenQual	TotRmsAbvGrd	Fireplaces	GarageType	GarageYrBlt	GarageFinish	GarageCars	GarageArea	PavedDrive	MoSold	YrSold	SaleType	SaleCondition	ExteriorFirst	BsmtUnfSf	BathToRoom	SalePrice
20	RL	4.248495242	9.3236690573	Reg	Inside	Sawyer	Norm	1Fam	1Story	5	5	1965	1965	Hip	HdBoard	None	4.4998096703	TA	TA	CBlock	TA	No	Rec	6.809039306	134	6.9469759921	Ex	Y	SBrkr	6.9469759921	0	6.9469759921	1	0	1	0	3	TA	5	0	Detchd	1965	Unf	1	5.9506425526	Y	2	2008	WD	Normal	HdBoard	4.8978398	0.6666666667	11.7714361601
60	RL	4.4426512565	9.3863084548	IR1	Inside	NridgHt	Norm	1Fam	2Story	9	5	2005	2006	Hip	Wd Shng	Stone	5.6559918108	Ex	TA	PConc	Ex	No	GLQ	6.9057532763	177	7.0690234266	Ex	Y	SBrkr	7.074963198	7.0405363902	7.751045118	1	0	3	0	4	Ex	11	2	BuiltIn	2005	Fin	3	6.6012301187	Y	7	2006	New	Partial	WdShing	5.1761497326	1	12.751299696
20	RL	4.248495242	9.4702400634	IR2	Inside	Sawyer	Norm	1Fam	1Story	5	6	1962	1962	Hip	Plywood	None	5.3327187933	TA	TA	CBlock	TA	No	ALQ	6.6025878922	175	6.8156399901	TA	Y	SBrkr	6.8156399901	0	6.8156399901	1	0	1	0	2	TA	4	0	Detchd	1962	Unf	1	5.8636311756	Y	9	2008	WD	Normal	HdBoard	5.1647859739	1	11.8775685786
20	RL	4.5108595065	9.2735029469	IR1	Inside	CollgCr	Norm	1Fam	1Story	7	5	2006	2007	Gable	VinylSd	Stone	5.723585102	Gd	TA	PConc	Gd	Av	Unf	2.9957322736	1494	7.3092123657	Ex	Y	SBrkr	7.3092123657	0	7.3092123657	0	0	2	0	3	Gd	7	1	Attchd	2006	RFn	3	6.7334018918	Y	8	2007	New	Partial	VinylSd	7.3092123657	0.6666666667	12.5407575716
20	RL	4.3820266347	9.2983512493	IR1	Corner	NAmes	Norm	1Fam	1Story	6	5	1960	1960	Hip	MetalSd	BrkFace	5.3565862747	TA	TA	CBlock	TA	No	BLQ	6.5971457019	520	7.1332959549	TA	Y	SBrkr	7.1332959549	0	7.1332959549	1	0	1	1	2	TA	5	1	Attchd	1960	RFn	1	5.8636311756	Y	5	2008	WD	Normal	MetalSd	6.2538288116	1.5	11.9640010843
45	RM	3.9318256327	8.7193173755	Reg	Corner	BrkSide	Norm	1Fam	1.5Unf	7	8	1929	2001	Gable	Wd Sdng	None	0	TA	TA	BrkTil	TA	No	Unf	4.7095302013	832	6.7238324408	Ex	Y	FuseA	6.7499311938	0	6.7499311938	0	0	1	0	2	TA	5	0	Detchd	1991	Unf	2	6.3561076607	Y	7	2007	WD	Normal	Wd Sdng	6.7238324408	0.5	11.7905572016
20	RL	4.4426512565	9.3273230875	IR1	CulDSac	NAmes	Norm	1Fam	1Story	6	7	1970	1970	Gable	Wd Sdng	BrkFace	5.1929568509	TA	TA	CBlock	TA	No	ALQ	6.3595738687	426	6.9117473003	Ex	Y	SBrkr	6.9117473003	0	6.9117473003	1	0	1	0	2	TA	5	1	Attchd	1970	Fin	2	6.1737861039	Y	3	2010	WD	Normal	Wd Sdng	6.0544393463	1	11.9117015849
90	RL	4.276666119	9.2864677324	Reg	Inside	Sawyer	Norm	Duplex	1Story	4	5	1967	1967	Gable	MetalSd	None	5.257495372	TA	TA	Slab	Gd	Av	Rec	6.7730803757	0	6.9574973709	TA	Y	SBrkr	7.1670378769	0	7.1670378769	0	0	2	0	2	TA	6	0	CarPort	1967	Unf	2	6.2461067655	Y	10	2006	WD	Normal	MetalSd	3.1354942159	1	11.4075649493
20	RL	4.189654742	9.5247860817	Reg	Inside	SawyerW	RRAe	1Fam	1Story	5	5	2004	2004	Gable	VinylSd	None	4.3820266347	TA	TA	PConc	TA	No	GLQ	6.4707995038	468	7.0157124205	Ex	Y	SBrkr	7.0157124205	0	7.0157124205	1	0	1	1	3	Gd	6	0	Detchd	2004	Unf	2	6.3561076607	Y	6	2008	WD	Normal	VinylSd	6.1484682959	1	11.9766594812
20	RL	4.248495242	8.9306264692	Reg	Inside	NAmes	Norm	1Fam	1Story	5	6	1958	1965	Hip	Plywood	None	6.4815771293	TA	TA	CBlock	TA	No	LwQ	6.2225762681	525	6.9363427358	TA	Y	SBrkr	7.1996783457	0	7.1996783457	0	0	1	0	3	TA	6	0	Attchd	1958	Unf	1	5.6835797673	Y	5	2009	COD	Abnorml	BrkFace	6.2633982626	0.3333333333	11.8422292121
60	RL	4.6151205168	9.5620530241	IR1	Corner	NridgHt	Norm	1Fam	2Story	8	5	2005	2006	Gable	VinylSd	BrkFace	5.9401712527	Gd	TA	PConc	Ex	Av	Unf	6.907755279	1158	7.0544496581	Ex	Y	SBrkr	7.0544496581	7.1049654483	7.7731736805	0	0	3	1	4	Gd	9	1	BuiltIn	2005	RFn	3	6.7487595475	Y	11	2006	New	Partial	VinylSd	7.0544496581	1	12.6925031125
45	RM	4.0430512678	8.9158350742	Reg	Inside	IDOTRR	Norm	1Fam	1.5Unf	7	7	1930	1950	Gable	Wd Sdng	None	4.0253516907	TA	TA	PConc	TA	No	Unf	4.7535901911	637	6.4567696556	Ex	Y	FuseF	7.0103118673	0	7.0103118673	0	0	1	0	3	Gd	6	1	Attchd	1930	Unf	1	5.6347896032	N	6	2007	WD	Normal	Wd Sdng	6.4567696556	0.3333333333	11.8451027773
20	RL	4.3174881135	9.1842017144	Reg	Inside	CollgCr	Norm	1Fam	1Story	8	5	2002	2002	Hip	VinylSd	BrkFace	5.6383546693	Gd	TA	PConc	Gd	No	Unf	5.8289456176	1777	7.4826818282	Ex	Y	SBrkr	7.4927603009	0	7.4927603009	0	0	2	0	3	Gd	7	1	Attchd	2002	RFn	2	6.280395839	Y	9	2008	WD	Normal	VinylSd	7.4826818282	0.6666666667	12.3458345879
120	RM	3.7841896339	8.3485378254	Reg	Inside	MeadowV	Norm	TwnhsE	1Story	5	7	1976	1976	Gable	CmentBd	None	5.0172798368	TA	TA	PConc	Gd	No	GLQ	6.7334018918	200	6.9469759921	TA	Y	SBrkr	6.9660241871	0	6.9660241871	1	0	1	0	3	TA	6	1	Attchd	1976	Unf	2	6.3491389914	Y	6	2007	WD	Normal	CemntBd	5.2983173665	0.6666666667	11.7745202027
20	RL	4.0943445622	9.0174835133	IR1	Inside	Sawyer	Norm	1Fam	1Story	5	8	1968	2001	Gable	Plywood	None	5.5412635452	TA	Gd	CBlock	TA	Mn	Rec	5.2364419628	204	6.9660241871	Ex	Y	SBrkr	6.9660241871	0	6.9660241871	1	0	1	0	3	Gd	6	1	Attchd	1968	Unf	1	5.598421959	Y	5	2010	WD	Normal	Plywood	5.3181199938	0.6666666667	11.9447078814
20	RL	4.7004803658	9.5631076911	Reg	Corner	NridgHt	Norm	1Fam	1Story	8	5	2007	2007	Gable	VinylSd	Stone	6.4614681764	Gd	TA	PConc	Gd	No	Unf	3.1780538303	1566	7.3562798766	Ex	Y	SBrkr	7.3777589082	0	7.3777589082	0	0	2	0	3	Gd	7	1	Attchd	2007	RFn	3	6.7912214627	Y	7	2009	WD	Normal	VinylSd	7.3562798766	0.6666666667	12.4541039124
20	RL	4.0943445622	8.881836305	Reg	Corner	NAmes	Norm	1Fam	1Story	5	7	1951	2000	Gable	Wd Sdng	None	0	TA	TA	CBlock	TA	Mn	BLQ	5.4553211154	180	6.8023947633	TA	Y	SBrkr	6.8023947633	0	6.8023947633	0	1	1	0	3	Gd	5	0	Detchd	2005	Unf	2	6.3561076607	Y	5	2010	WD	Normal	Wd Sdng	5.1929568509	0.6666666667	11.8115474775
20	RL	4.5849674787	9.3481874387	Reg	Inside	NridgHt	Norm	1Fam	1Story	8	5	2007	2008	Gable	VinylSd	Stone	5.2983173665	Gd	TA	PConc	Ex	No	GLQ	7.1049654483	486	7.4407337074	Ex	Y	SBrkr	7.4407337074	0	7.4407337074	1	0	2	0	3	Gd	7	1	Attchd	2008	RFn	3	6.64898455	Y	5	2010	WD	Normal	VinylSd	6.1862086239	1	12.6313403809
20	RL	3.8501476017	9.7002079012	IR1	CulDSac	NAmes	Norm	1Fam	1Story	5	6	1957	1997	Gable	MetalSd	None	6.09356977	TA	TA	CBlock	TA	Gd	BLQ	7.152268856	207	7.3024964237	TA	Y	SBrkr	7.3777589082	0	7.3777589082	1	0	1	0	2	TA	6	2	Attchd	1957	RFn	1	5.7651911028	Y	12	2006	WD	Normal	MetalSd	5.3327187933	1	12.2428866187
30	RM	4.0943445622	8.7521071983	IR1	Inside	BrkSide	Feedr	1Fam	1Story	4	6	1927	1950	Gable	MetalSd	None	0	TA	TA	BrkTil	TA	No	Unf	4.7874917428	520	6.2538288116	Fa	N	SBrkr	6.2538288116	0	6.2538288116	0	0	1	0	1	Fa	4	0	Detchd	1920	Unf	1	5.4806389233	Y	5	2008	WD	Normal	MetalSd	6.2538288116	1	11.1345890243
20	RL	3.9120230054	9.0529845612	IR1	CulDSac	Sawyer	Norm	1Fam	1Story	5	6	1966	2006	Gable	HdBoard	None	4.2195077052	TA	TA	CBlock	TA	No	Unf	4.8903491282	1228	7.1131421087	Gd	Y	SBrkr	7.1131421087	0	7.1131421087	0	0	1	1	3	Gd	6	0	Attchd	1966	Unf	1	5.6021188209	Y	6	2008	WD	Normal	HdBoard	7.1131421087	0.6666666667	11.9140478236
20	RL	4.4426512565	9.3100952051	Reg	Corner	CollgCr	Norm	1Fam	1Story	8	5	2007	2007	Gable	VinylSd	None	3.7376696183	Gd	TA	PConc	Ex	Av	Unf	3.1780538303	1234	7.1180162045	Ex	Y	SBrkr	7.1180162045	0	7.1180162045	0	0	2	0	3	Gd	7	0	Attchd	2007	RFn	2	6.1820849067	Y	1	2008	WD	Normal	VinylSd	7.1180162045	0.6666666667	12.1001564199
20	RL	4.248495242	9.2640706944	IR1	Inside	NAmes	Norm	1Fam	1Story	5	5	1959	1959	Hip	BrkFace	None	5.7430031878	TA	TA	CBlock	TA	No	Rec	6.9255951971	380	7.2427979228	Gd	Y	SBrkr	7.43838353	0	7.43838353	0	1	1	1	4	Gd	6	1	Attchd	1959	RFn	2	6.1025585946	Y	4	2010	WD	Normal	BrkFace	5.9401712527	0.75	12.0167264738
120	RL	4.0943445622	8.8974088653	Reg	Inside	NridgHt	Norm	TwnhsE	1Story	9	5	2005	2005	Hip	MetalSd	BrkFace	5.5053315359	Ex	TA	PConc	Ex	No	GLQ	7.0501225203	408	7.3530819205	Ex	Y	SBrkr	7.3530819205	0	7.3530819205	1	0	2	0	2	Ex	6	1	Attchd	2005	Fin	2	6.3207682943	Y	8	2007	WD	Normal	MetalSd	6.0112671744	1.5	12.5335762122
60	RL	4.6821312271	9.5043523681	Reg	Inside	NridgHt	Norm	1Fam	2Story	8	5	2004	2005	Gable	VinylSd	Stone	4.8828019226	Gd	TA	PConc	Ex	Av	Unf	5.5294290875	1117	7.0184017991	Ex	Y	SBrkr	7.0317412588	7.1853870156	7.8046592971	0	0	3	1	4	Gd	9	1	BuiltIn	2004	Fin	3	6.5381398238	Y	9	2006	WD	Normal	VinylSd	7.0184017991	1	12.6410965559
20	RL	4.7184988713	9.2927495082	Reg	Corner	CollgCr	Norm	1Fam	1Story	5	5	1994	1995	Gable	VinylSd	None	0	TA	TA	PConc	Gd	No	Unf	5.4116460519	1097	7.0003344603	Ex	Y	SBrkr	7.0003344603	0	7.0003344603	0	0	1	1	3	TA	6	0	Attchd	1995	Unf	2	6.5102583405	Y	6	2009	WD	Normal	VinylSd	7.0003344603	0.6666666667	11.8844890214
20	RL	4.3040650932	9.0515790796	Reg	Inside	NAmes	Norm	1Fam	1Story	5	6	1954	1990	Hip	Wd Sdng	BrkFace	6.4769723629	TA	TA	CBlock	TA	No	Rec	7.1008519089	84	7.1678091843	Gd	Y	SBrkr	7.1678091843	0	7.1678091843	0	1	1	0	3	TA	5	1	Attchd	1954	Fin	2	6.210600077	Y	10	2009	WD	Normal	Wd Sdng	4.4308167988	0.6666666667	11.9381932004
20	RL	4.2195077052	8.9773989782	Reg	Inside	NAmes	Norm	1Fam	1Story	5	7	1953	2007	Gable	VinylSd	None	5.7430031878	TA	Gd	CBlock	TA	No	GLQ	6.5944134597	326	6.9631899859	TA	Y	SBrkr	6.9631899859	0	6.9631899859	1	0	1	0	3	Gd	5	0	Detchd	1953	Unf	1	5.5053315359	Y	1	2010	WD	Abnorml	VinylSd	5.7868973814	0.6666666667	11.5991031612
90	RL	4.1743872699	8.7061592909	Reg	Inside	Edwards	Norm	Duplex	1Story	4	5	1955	1955	Gable	Plywood	None	5.8289456176	TA	TA	PConc	Gd	Mn	Unf	6.9236286281	0	6.8511849275	TA	N	FuseP	7.0492548413	0	7.0492548413	0	0	2	0	2	Fa	6	0	Attchd	1963	Fin	0	5.7333412769	N	6	2008	WD	AdjLand	AsbShng	6.4952655559	1	11.3144745262
20	RL	4.4308167988	9.066239028	Reg	Inside	NAmes	Norm	1Fam	1Story	6	5	1965	1965	Gable	Wd Sdng	BrkFace	4.6151205168	TA	TA	CBlock	TA	No	Rec	6.4661447242	445	6.9920964274	Ex	Y	SBrkr	7.1884127365	0	7.1884127365	0	0	2	0	3	TA	6	1	Attchd	1965	RFn	2	6.0867747269	Y	12	2006	WD	Abnorml	Wd Sdng	6.0980742822	0.6666666667	11.9829290942
20	RL	4.7449321284	9.7353647151	Reg	Inside	Timber	Norm	1Fam	1Story	5	6	1959	1959	Gable	VinylSd	None	4.7184988713	TA	Gd	CBlock	TA	Gd	BLQ	6.8741984955	383	7.2078598714	Gd	Y	SBrkr	7.19142933	0	7.19142933	0	1	1	1	2	TA	5	2	Attchd	1959	RFn	1	5.730099783	P	7	2007	WD	Normal	VinylSd	5.9480349892	1.5	12.043553716
85	RL	4.0604430105	9.1247824836	IR1	CulDSac	SawyerW	Norm	1Fam	SFoyer	5	7	1983	1983	Gable	HdBoard	None	5.4806389233	TA	TA	CBlock	Gd	Av	ALQ	6.6160651851	0	6.7334018918	Gd	Y	SBrkr	6.7844570626	0	6.7844570626	1	0	1	0	2	Gd	5	0	Attchd	1983	RFn	2	6.2225762681	Y	12	2007	WD	Normal	HdBoard	5.2983173665	1	11.8775685786
20	RL	3.5835189385	9.126958763	IR1	CulDSac	CollgCr	Norm	1Fam	1Story	5	6	1975	1980	Hip	VinylSd	None	5.8406416574	TA	TA	CBlock	Gd	Av	LwQ	5.6347896032	167	6.843749949	TA	Y	SBrkr	6.843749949	0	6.843749949	1	0	1	0	3	TA	5	0	Detchd	1977	Unf	1	5.730099783	Y	7	2008	WD	Normal	VinylSd	5.1179938124	0.6666666667	11.7772109596
20	RL	4.248495242	8.980298079	Reg	Inside	NAmes	Norm	1Fam	1Story	5	6	1959	1959	Gable	Wd Sdng	None	4.8520302639	TA	TA	CBlock	TA	No	ALQ	5.1873858058	465	7.0475172214	Ex	Y	FuseA	7.0475172214	0	7.0475172214	1	0	1	0	3	TA	6	0	Attchd	1959	RFn	1	5.7037824747	Y	5	2006	WD	Normal	BrkFace	6.1420374056	0.6666666667	11.8565151694
120	RL	4.1108738642	8.943506132	Reg	Inside	NridgHt	Norm	TwnhsE	1Story	9	5	2005	2005	Hip	MetalSd	BrkFace	6.0210233493	Ex	TA	PConc	Ex	No	GLQ	6.1224928095	1296	7.4685132715	Ex	Y	SBrkr	7.4685132715	0	7.4685132715	1	0	2	0	2	Ex	6	1	Attchd	2005	RFn	2	6.3561076607	Y	2	2010	WD	Normal	MetalSd	7.1670378769	1.5	12.6757637259
50	RL	3.8712010109	9.4589177245	IR1	CulDSac	Mitchel	Norm	1Fam	1.5Fin	7	5	2003	2003	Gable	VinylSd	None	5.3471075307	Gd	TA	PConc	Ex	No	GLQ	7.208600338	83	7.2682230212	Ex	Y	SBrkr	7.325148958	6.4473058625	7.6727578966	1	0	1	1	1	Gd	6	1	Attchd	2003	RFn	2	6.5072777124	Y	8	2009	WD	Abnorml	VinylSd	4.4188406078	3	12.3870850124
20	FV	4.4308167988	9.314339962	Reg	Inside	Somerst	Norm	1Fam	1Story	8	5	2006	2006	Gable	VinylSd	None	5.7430031878	Gd	TA	PConc	Gd	Av	GLQ	3.1780538303	1632	7.4121603349	Ex	Y	SBrkr	7.4121603349	0	7.4121603349	0	0	2	0	3	Gd	7	0	Attchd	2006	RFn	3	6.7165947735	Y	7	2007	WD	Normal	VinylSd	7.3975615355	0.6666666667	12.4280154763
190	RM	3.4965075615	8.4020067816	Reg	Inside	OldTown	Norm	2fmCon	2Story	4	5	1920	2008	Gable	MetalSd	None	3.9889840466	TA	TA	BrkTil	TA	No	Unf	5.7004435734	736	6.6012301187	Gd	Y	SBrkr	6.6012301187	6.573680167	7.2806971954	0	0	2	0	2	TA	8	0	Attchd	1945	Unf	0	5.4806389233	N	6	2009	New	Partial	MetalSd	6.6012301187	1	11.6351430977
20	RL	4.189654742	8.9544153311	Reg	Inside	Sawyer	Norm	1Fam	1Story	5	7	1966	1966	Gable	HdBoard	None	5.081404365	TA	TA	CBlock	TA	No	BLQ	6.6372580313	192	6.8617113405	Ex	Y	SBrkr	6.8617113405	0	6.8617113405	1	0	1	0	3	TA	6	0	Attchd	1966	Unf	1	5.9558373695	Y	1	2007	WD	Normal	HdBoard	5.257495372	0.6666666667	11.7519423654
60	RL	4.0430512678	9.5374114127	IR2	Corner	Gilbert	Norm	1Fam	2Story	6	6	1997	1997	Gable	VinylSd	None	5.7430031878	TA	TA	PConc	Gd	Av	GLQ	5.2040066871	612	6.6770834612	Gd	Y	SBrkr	6.6770834612	6.516193076	7.2930176798	0	1	2	0	3	TA	6	0	Attchd	1997	Fin	2	5.9610053396	Y	7	2007	WD	Normal	VinylSd	6.4167322825	1	12.0839050116
50	RM	3.9512437186	8.7387354614	Reg	Inside	BrkSide	Norm	1Fam	1.5Fin	6	6	1934	1950	Gable	Wd Sdng	None	5.1929568509	TA	TA	PConc	TA	No	Unf	3.1780538303	816	6.704414355	TA	Y	SBrkr	6.704414355	0	7.0698741285	0	0	1	0	3	TA	6	1	Detchd	1985	Unf	2	6.2690962837	Y	9	2006	WD	Normal	Wd Sdng	6.704414355	0.3333333333	11.648330102
90	RM	4.7004803658	9.0445218873	IR2	Corner	IDOTRR	RRNn	Duplex	1Story	5	5	1963	1963	Gable	Wd Sdng	None	0	Fa	TA	CBlock	Gd	Gd	LwQ	4.6443908991	0	6.704414355	TA	N	SBrkr	6.704414355	0	6.704414355	1	0	1	0	2	TA	5	0	CarPort	1963	Unf	2	6.2461067655	Y	5	2010	WD	Normal	Wd Sdng	6.1136821798	1	11.6082356448
20	RL	4.2195077052	10.8251836491	IR1	Inside	Veenker	Norm	1Fam	1Story	9	5	1981	1987	Gable	Wd Shng	None	0	Gd	TA	CBlock	Ex	Gd	GLQ	7.5010821243	32	7.5186072168	Gd	Y	SBrkr	7.5186072168	0	7.5186072168	2	0	0	1	0	Gd	5	1	Attchd	1981	Fin	3	6.7957057752	Y	11	2006	WD	Normal	WdShing	3.4657359028	3	12.8609986133
80	RL	4.0943445622	8.8726273659	Reg	Inside	NAmes	Norm	1Fam	SLvl	5	5	1955	1955	Gable	MetalSd	None	5.2781146592	TA	TA	CBlock	TA	No	ALQ	5.9506425526	0	5.9506425526	TA	Y	SBrkr	7.2152399787	0	7.2152399787	0	0	1	0	3	TA	6	1	Detchd	1962	Unf	2	6.3491389914	Y	2	2007	WD	Normal	MetalSd	4.3307333403	0.3333333333	11.7752897294
20	RL	4.605170186	9.2276890103	IR1	Inside	NAmes	Norm	1Fam	1Story	6	5	1964	1964	Gable	Plywood	BrkFace	5.6058020663	TA	TA	CBlock	TA	No	BLQ	6.1944053911	935	7.2619270927	Gd	Y	SBrkr	7.2619270927	0	7.2619270927	0	0	2	0	3	TA	7	1	Attchd	1964	RFn	2	6.3561076607	Y	7	2008	WD	Normal	HdBoard	6.8405465293	0.6666666667	12.1034860568
160	FV	3.1780538303	7.8804263443	Reg	Inside	Somerst	Norm	Twnhs	2Story	8	5	1999	2000	Gable	MetalSd	BrkFace	6.1224928095	Gd	TA	PConc	Gd	No	GLQ	6.4754327167	321	6.8772960715	Ex	Y	SBrkr	6.8906091201	6.6280413762	7.4610655144	1	0	2	1	3	Gd	7	0	Attchd	1999	Fin	2	6.1737861039	Y	8	2009	WD	Abnorml	MetalSd	5.7714411231	1.3333333333	12.0581525155
60	RL	4.4886363697	9.3626321823	IR1	Corner	CollgCr	Norm	1Fam	2Story	7	5	2004	2004	Gable	VinylSd	None	4.5849674787	Gd	TA	PConc	Gd	No	Unf	5.7037824747	860	6.7569323892	Ex	Y	SBrkr	6.7569323892	6.7569323892	7.4500795698	0	0	2	1	3	Gd	7	0	Attchd	2004	RFn	2	6.3368257311	Y	8	2006	WD	Normal	VinylSd	6.7569323892	1	12.1884177103
60	RL	4.189654742	9.5238363793	IR2	CulDSac	StoneBr	Norm	1Fam	2Story	10	5	2006	2006	Hip	VinylSd	BrkFace	6.938284484	Ex	TA	PConc	Ex	Gd	Unf	3.8712010109	1410	7.2513449834	Ex	Y	SBrkr	7.262628601	7.3258075026	7.9878640961	0	0	3	1	3	Gd	10	1	BuiltIn	2006	Fin	3	6.4630294569	Y	10	2006	New	Partial	VinylSd	7.2513449834	1.3333333333	12.9917534275
20	RL	4.0943445622	8.881836305	Reg	Inside	CollgCr	Norm	1Fam	1Story	5	7	1972	1972	Gable	HdBoard	None	5.6835797673	TA	TA	CBlock	TA	Av	ALQ	6.4488893941	148	6.6592939197	Ex	Y	SBrkr	6.6592939197	0	6.6592939197	0	0	1	0	2	TA	4	0	Detchd	1973	Unf	1	5.8636311756	Y	1	2008	WD	Normal	HdBoard	4.9972122738	0.5	11.7352686961
